nid,name,info,buildtime,leader,college,web,departments
1,南开大学,"南开大学是教育部直属重点综合性大学，是敬爱的周恩来总理的母校。新中国成立以来，学校发展始终得到党和国家的亲切关怀。毛泽东主席题写校名、亲临视察；周恩来总理三回母校指导；邓小平同志会见数学大师陈省身，批示成立南开数学研究所；江泽民同志、胡锦涛同志先后视察南开。特别是党的十八大以来，习近平总书记多次对南开的发展给予肯定，并对相关工作回信和勉励，更在百年校庆之际亲临南开视察。
南开大学由严修、张伯苓秉承教育救国理念创办，肇始于1904年，成立于1919年。1937年校园遭侵华日军炸毁，学校南迁。1938年与北京大学、清华大学合组西南联合大学，被誉为“学府北辰”。1946年回津复校并改为国立。
新中国成立后，经历高等教育院系调整，成为文理并重的全国重点大学。改革开放以来，天津对外贸易学院、中国旅游管理干部学院相继并入，经教育部与天津市共建支持，学校发展成为国家“211工程”和“985工程”重点建设的综合性研究型大学。2015年9月，新校区建成启用后，初步形成了八里台校区、津南校区、泰达学院“一校三区”办学格局。2017年9月，入选国家42所世界一流大学建设高校，且为36所A类高校之一。
南开大学坚持“允公允能，日新月异”的校训，弘扬“爱国、敬业、创新、乐群”的传统和“文以治国、理以强国、商以富国”的理念，以“知中国，服务中国”为宗旨，以杰出校友周恩来为楷模，作育英才，繁荣学术，强国兴邦，传承文明，努力建设世界一流大学。
",1919年,"党委书记：杨庆山
党委副书记：曹雪涛 、杨克欣 、李义丹
纪委书记：李义丹（兼）
校长：曹雪涛
常务副校长：许京军
副校长：李靖、王磊、陈军、王新生","文学院、历史学院、哲学院
外国语学院、法学院、周恩来政府管理学院
马克思主义学院、汉语言文化学院、经济学院
商学院、旅游与服务学院、金融学院
数学科学学院、物理科学学院、化学学院
生命科学学院、环境科学与工程学院、医学院
药学院、电子信息与光学工程学院、材料科学与工程学院
计算机学院、网络空间安全学院、人工智能学院
软件学院、统计与数据科学学院",https://www.nankai.edu.cn/,"学校办公室 党委组织部、党校 党委宣传部 （新闻中心）
党委统战部 机关党委 纪委办公室、监察室
党委巡察工作办公室 党委巡察组 党委网信办（大数据管理中心）
党委教师工作部 党委学生工作部（学生工作办公室、武装部） 党委研究生工作部
教代会、工会 团委
保密办公室   研究生院
“双一流”建设办公室 人事处
教务处 战略发展部 科学技术研究部
人文社会科学研究部 国际合作与交流处 财务处
审计处 保卫处 实验室设备处
招投标管理办公室 离退休人员管理处 发展委员会办公室
校友工作办公室 经营性国有资产管理办公室 基建规划处
房产管理处 档案工作办公室"
2,计算机学院,"南开大学计算机学科的研究工作始于1958年，是在实力雄厚的数学学科和物理学科的基础上发展起来的，是我国最早从事计算机研究与教学的院校之一。
计算机学院坐落在南开大学津南校区理科组团，现有教学科研面积7000平方米。计算机学院下设计算机科学与技术系、公共计算机基础教学部、实验教学中心（国家级虚拟仿真实验教学中心）、三个研究所（大数据技术研究所、系统与网络研究所、机器智能研究所）和8个研究室。学院具有本科、硕士、博士完整的培养体系，拥有计算机科学与技术国家一级学科（天津市重点学科），设有4个二级学科方向（计算机软件与理论、计算机应用技术、计算机系统结构、信息安全），并建有博士后流动站。
",2018年7月,"党委书记：黄家友
党委副书记：仇林
院长：袁晓洁
副院长：刘晓光、张志刚、刘哲理、仇林",计算机学院,https://cc.nankai.edu.cn/,党委组织
